Sp;Region;PLANT_CODE;POPUL_CODE;LAT;LON;ALT;IC;PN;WK;CK;IOE;Ann_PREC;Wkd/Lkd;Dvsh/Dosh;Lkd/L1p1l;Dpl/Lp;Ср.зн S2p3l-S2p4l;Dp_G;Dp_O;Dp_OG;Dp_ORe;Dp_Re;Dvl_Re;Dvl_OG;Dvl_ORe;Dvl_G;Dvl_O;Dnl_ORe;Dnl_OG;Dnl_Re;Dnl_G;Dnl_O;Dc_G;Dc_Re;Dc_OG;Dc_ORe;Dc_O;Dvns_Re;Dvns_G;Dvns_ORe;Dvns_OG;Dvns_O;Dnns_Re;Dnns_OG;Dnns_ORe;Dnns_G;Dnn_O;Dvvs_ORe;Dvvs_Re;Dvvs_O;Dvvs_G;Dvvs_OG;Dnvs_Re;Dnvs_OG;Dnvs_G;Dnvs_ORe;Сp_Y;Сp_W
Df;Irkutsk_Usch;A1;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.354801321140358;0.726392251815981;1.0028129395218;0.177242888402626;0.28;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A2;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.319092490028661;0.658385093167702;0.987593052109181;0.285333333333333;0.37;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A3;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.35228710658571;0.694835680751174;1.01977401129944;0.205944798301486;0.27;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A4;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.35372707164768;0.710843373493976;1.02898550724638;0.167391304347826;0.28;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A5;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.366851413534119;0.714285714285714;0.958579881656804;0.195054945054945;0.32;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A6;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.330717959432481;0.687793427230047;1.03602305475504;0.214285714285714;0.33;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A7;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.333040878451837;0.727699530516432;1.06512301013025;0.25068870523416;0.36;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A8;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.361998602355585;0.754098360655738;1.02066772655008;0.229508196721312;0.34;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A9;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.367934958423291;0.755102040816327;1.01027900146843;0.210126582278481;0.51;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A10;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.383107480941824;0.746305418719212;1.02902757619739;0.248587570621469;0.36;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
Df;Irkutsk_Usch;A11;IC1;52.1658;104.3885;511;41.6193844135684;66.574;37.8921830436802;-124.06489751719;0.772312780489653;374.297710681036;0.390013764173822;0.731308411214953;1.01367989056088;0.251282051282051;0.37;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
