year,month,Prec,Tmin,Tmax,PDSI
1958,1,69.7,-12.94,-7.18,1.45
1958,2,37.1,-13,-6.22,1.33
1958,3,54.9,-10.48,-3.15,1.63
1958,4,62.5,-1.88,4.29,1.79
1958,5,71.7,3.07,10,1.74
1958,6,51,7.63,13.02,1.49
1958,7,158.1,12.15,17.27,2.99
1958,8,115.9,12.85,17.44,2.81
1958,9,83.6,10.36,16.69,2.3
1958,10,75.7,3.79,10.73,2.11
1958,11,14.6,-2.35,4.26,-1.71
1958,12,47.2,-6.91,-1.03,-1.75
1959,1,58.5,-15.74,-9.68,-1.22
1959,2,30.2,-12.21,-4.58,-1.29
1959,3,32.2,-6.6,-0.75,-1.43
1959,4,97.4,-0.31,6.72,-0.64
1959,5,77.2,4.01,10.03,0.31
1959,6,88.1,7.1,12.19,1.68
1959,7,101.9,13.04,17.84,2.13
1959,8,46.9,13.16,17.87,1.06
1959,9,154.1,10.13,16.13,2.29
1959,10,104.7,4.56,11.73,2.69
1959,11,43.2,-3.15,2.72,1.91
1959,12,48.3,-10.16,-4.17,1.53
1960,1,30.1,-15.1,-9.55,0.86
1960,2,28.9,-13.5,-6.38,-1.21
1960,3,55.2,-9.54,-2.85,-0.64
1960,4,78.2,-2.74,3.36,1.52
1960,5,121.2,2.68,8.93,3.07
1960,6,117.7,5.67,10.92,4.44
1960,7,64.7,11.54,16.75,3.87
1960,8,70,14.85,21.07,2.63
1960,9,126.2,10.96,18.15,2.34
1960,10,45.7,2.19,10.39,1.32
1960,11,53.8,-2.91,3.42,0.93
1960,12,46.2,-10.32,-4.54,0.59
1961,1,36,-16.37,-9.88,-1.88
1961,2,29.6,-13.13,-6.32,-1.91
1961,3,39.6,-8.47,-1.88,-1.75
1961,4,78.9,-0.98,5.72,-1.29
1961,5,131.9,3.87,10.73,1.94
1961,6,49.4,8.46,15.36,1.47
1961,7,96,13.81,19.51,1.48
1961,8,65.1,13.92,19.37,0.61
1961,9,145.9,11.69,18.75,1.15
1961,10,98.8,3.76,10.53,1.41
1961,11,46.2,-2.61,4.59,0.62
1961,12,57.2,-7.38,-0.9,0.64
1962,1,67.9,-11.43,-5.52,1.2
1962,2,23.6,-14.3,-6.65,0.67
1962,3,66.6,-10.24,-3.11,1.41
1962,4,96.8,-0.07,7.09,1.92
1962,5,67.2,4.54,11.56,1.73
1962,6,80.3,7.56,13.53,2.02
1962,7,132.1,12.34,17.12,2.98
1962,8,114.1,12.62,17.51,2.89
1962,9,125.3,10.5,16.75,3.3
1962,10,59,3.26,10.3,2.36
1962,11,89.4,-4.28,2.72,2.92
1962,12,55.4,-8.49,-1.5,2.65
1963,1,78.4,-10.55,-4.32,3.32
1963,2,20.1,-11.53,-5.18,2.47
1963,3,28.4,-8,-0.68,1.82
1963,4,64.4,-1.05,4.86,1.76
1963,5,36.1,4.61,12.9,-1.93
1963,6,68.7,6.99,13.36,-1.95
1963,7,107.5,12.38,17.74,-1.54
1963,8,125.1,12.99,16.27,-0.94
1963,9,122.6,9.03,16.09,1.19
1963,10,111.1,3.96,11.63,1.82
1963,11,95.8,-1.91,5.09,2.12
1963,12,40.2,-8.26,-1.93,1.48
1964,1,32.1,-13.27,-6.58,0.88
