,trait_name,island,tot_sp,expected,observed,zscore,sd,p-value
0,Asio-Amer,Atlasova,242.0,24.71,58.0,6.77,4.921,0.0
1,Asio-Amer,Shumshu,423.0,43.18,86.0,6.63,6.456,0.0
2,Asio-Amer,Paramushir,499.0,50.94,95.0,6.3,6.99,0.0
3,Asio-Amer,Antciferova,22.0,2.25,8.0,3.84,1.497,0.0001
4,Asio-Amer,Makanrushi,142.0,14.5,35.0,5.42,3.785,0.0
5,Asio-Amer,Onekotan,316.0,32.26,68.0,6.38,5.606,0.0
6,Asio-Amer,Kharimkotan,175.0,17.87,43.0,5.99,4.196,0.0
7,Asio-Amer,Chirinkotan,37.0,3.78,13.0,4.75,1.941,0.0
8,Asio-Amer,Ekarma,123.0,12.56,37.0,6.93,3.526,0.0
9,Asio-Amer,Shiashkotan,219.0,22.36,54.0,6.75,4.686,0.0
10,Asio-Amer,Raykoke,74.0,7.55,20.0,4.54,2.74,0.0
11,Asio-Amer,Matua,209.0,21.34,43.0,4.73,4.579,0.0
12,Asio-Amer,Rashua,257.0,26.24,56.0,5.87,5.068,0.0
13,Asio-Amer,Ushishir,156.0,15.93,31.0,3.8,3.965,0.0001
14,Asio-Amer,Ketoy,263.0,26.85,55.0,5.49,5.125,0.0
15,Asio-Amer,Simushir,313.0,31.95,61.0,5.21,5.58,0.0
16,Asio-Amer,Broutona,22.0,2.25,4.0,1.17,1.497,0.1207
17,Asio-Amer,Chirpoy,140.0,14.29,37.0,6.04,3.759,0.0
18,Asio-Amer,Brat Chirpoev,144.0,14.7,36.0,5.59,3.811,0.0
19,Asio-Amer,Urup,488.0,49.82,76.0,3.79,6.916,0.0001
20,Asio-Amer,Iturup,775.0,79.12,83.0,0.45,8.607,0.3261
21,Asio-Amer,Kunashir,929.0,94.84,84.0,1.16,9.36,0.1234
22,Asio-Amer,Shikotan,666.0,67.99,66.0,0.25,8.017,0.4019
23,Asio-Amer,Polonskogo,124.0,12.66,19.0,1.79,3.54,0.0366
24,Asio-Amer,Zeleny,171.0,17.46,25.0,1.82,4.149,0.0345
25,Asio-Amer,Tanfileva,156.0,15.93,20.0,1.03,3.965,0.1521
26,Asio-Amer,Yuriy,197.0,20.11,21.0,0.2,4.448,0.4209
27,Asio-Amer,Demina,46.0,4.7,10.0,2.45,2.163,0.0071
28,Asio-Amer,Storozhevoy,10.0,1.02,1.0,0.02,1.01,0.4917
29,Asio-Amer,Anuchina,88.0,8.98,13.0,1.34,2.986,0.0894
30,Beringian,Atlasova,242.0,6.03,19.0,5.29,2.45,0.0
31,Beringian,Shumshu,423.0,10.54,21.0,3.24,3.233,0.0006
32,Beringian,Paramushir,499.0,12.43,27.0,4.15,3.509,0.0
33,Beringian,Antciferova,22.0,0.55,3.0,3.31,0.74,0.0005
34,Beringian,Makanrushi,142.0,3.54,10.0,3.44,1.878,0.0003
35,Beringian,Onekotan,316.0,7.87,21.0,4.69,2.797,0.0
36,Beringian,Kharimkotan,175.0,4.36,10.0,2.71,2.085,0.0034
37,Beringian,Chirinkotan,37.0,0.92,3.0,2.16,0.96,0.0152
38,Beringian,Ekarma,123.0,3.07,8.0,2.82,1.749,0.0024
39,Beringian,Shiashkotan,219.0,5.46,11.0,2.38,2.331,0.0087
40,Beringian,Raykoke,74.0,1.84,7.0,3.8,1.357,0.0001
41,Beringian,Matua,209.0,5.21,11.0,2.54,2.277,0.0055
42,Beringian,Rashua,257.0,6.4,13.0,2.61,2.524,0.0045
43,Beringian,Ushishir,156.0,3.89,9.0,2.6,1.969,0.0047
44,Beringian,Ketoy,263.0,6.55,13.0,2.52,2.553,0.0058
45,Beringian,Simushir,313.0,7.8,14.0,2.23,2.784,0.013
46,Beringian,Broutona,22.0,0.55,3.0,3.31,0.74,0.0005
47,Beringian,Chirpoy,140.0,3.49,8.0,2.42,1.865,0.0078
48,Beringian,Brat Chirpoev,144.0,3.59,7.0,1.8,1.892,0.0357
49,Beringian,Urup,488.0,12.16,14.0,0.53,3.47,0.2981
50,Beringian,Iturup,775.0,19.31,14.0,1.22,4.36,0.1115
51,Beringian,Kunashir,929.0,23.15,7.0,3.39,4.766,0.0004
52,Beringian,Shikotan,666.0,16.6,6.0,2.62,4.047,0.0044
53,Beringian,Polonskogo,124.0,3.09,0.0,1.76,1.756,0.0392
54,Beringian,Zeleny,171.0,4.26,2.0,1.1,2.061,0.1363
55,Beringian,Tanfileva,156.0,3.89,0.0,1.97,1.969,0.0241
56,Beringian,Yuriy,197.0,4.91,1.0,1.77,2.211,0.0385
