,trait_name,island,tot_sp,expected,observed,zscore,sd,p-value
0,Magnoliopsida,Atlasova,224.0,142.6,165.0,2.0,11.179,0.0225
1,Magnoliopsida,Shumshu,391.0,248.91,245.0,0.28,13.971,0.3898
2,Magnoliopsida,Paramushir,464.0,295.38,295.0,0.03,14.823,0.4897
3,Magnoliopsida,Antciferova,21.0,13.37,16.0,0.72,3.635,0.2346
4,Magnoliopsida,Makanrushi,131.0,83.39,101.0,2.0,8.796,0.0227
5,Magnoliopsida,Onekotan,291.0,185.25,188.0,0.22,12.469,0.4127
6,Magnoliopsida,Kharimkotan,161.0,102.49,111.0,0.88,9.663,0.1893
7,Magnoliopsida,Chirinkotan,36.0,22.92,22.0,0.19,4.739,0.4232
8,Magnoliopsida,Ekarma,118.0,75.12,86.0,1.3,8.38,0.0971
9,Magnoliopsida,Shiashkotan,203.0,129.23,137.0,0.73,10.712,0.2341
10,Magnoliopsida,Raykoke,67.0,42.65,54.0,1.77,6.409,0.0383
11,Magnoliopsida,Matua,195.0,124.14,134.0,0.94,10.525,0.1743
12,Magnoliopsida,Rashua,239.0,152.15,151.0,0.1,11.492,0.4602
13,Magnoliopsida,Ushishir,140.0,89.12,95.0,0.65,9.068,0.2585
14,Magnoliopsida,Ketoy,244.0,155.33,153.0,0.2,11.593,0.4203
15,Magnoliopsida,Simushir,289.0,183.98,189.0,0.4,12.435,0.3431
16,Magnoliopsida,Broutona,22.0,14.01,19.0,1.34,3.72,0.0897
17,Magnoliopsida,Chirpoy,130.0,82.76,93.0,1.17,8.765,0.1213
18,Magnoliopsida,Brat Chirpoev,135.0,85.94,99.0,1.46,8.918,0.0716
19,Magnoliopsida,Urup,448.0,285.2,301.0,1.08,14.651,0.1404
20,Magnoliopsida,Iturup,712.0,453.26,458.0,0.29,16.585,0.3875
21,Magnoliopsida,Kunashir,853.0,543.02,554.0,0.65,16.949,0.2586
22,Magnoliopsida,Shikotan,609.0,387.69,405.0,1.08,16.042,0.1403
23,Magnoliopsida,Polonskogo,120.0,76.39,89.0,1.49,8.446,0.0677
24,Magnoliopsida,Zeleny,165.0,105.04,111.0,0.61,9.771,0.2709
25,Magnoliopsida,Tanfileva,149.0,94.85,107.0,1.3,9.33,0.0965
26,Magnoliopsida,Yuriy,189.0,120.32,140.0,1.9,10.381,0.029
27,Magnoliopsida,Demina,46.0,29.28,38.0,1.63,5.342,0.0514
28,Magnoliopsida,Storozhevoy,10.0,6.37,8.0,0.65,2.516,0.258
