,trait_name,island,tot_sp,expected,observed,zscore,sd,p-value
0,Perennial,Atlasova,200.0,184.63,189.0,0.36,12.254,0.3607
1,Perennial,Shumshu,350.0,323.1,328.0,0.33,14.749,0.37
2,Perennial,Paramushir,413.0,381.26,386.0,0.31,15.306,0.3785
3,Perennial,Antciferova,21.0,19.39,19.0,0.09,4.36,0.4647
4,Perennial,Makanrushi,107.0,98.78,99.0,0.02,9.429,0.4906
5,Perennial,Onekotan,253.0,233.56,239.0,0.41,13.357,0.3418
6,Perennial,Kharimkotan,138.0,127.4,130.0,0.25,10.535,0.4024
7,Perennial,Chirinkotan,34.0,31.39,32.0,0.11,5.513,0.4557
8,Perennial,Ekarma,102.0,94.16,93.0,0.13,9.23,0.4499
9,Perennial,Shiashkotan,175.0,161.55,166.0,0.38,11.626,0.351
10,Perennial,Raykoke,54.0,49.85,51.0,0.17,6.88,0.4336
11,Perennial,Matua,172.0,158.78,163.0,0.37,11.545,0.3574
12,Perennial,Rashua,205.0,189.25,197.0,0.63,12.371,0.2654
13,Perennial,Ushishir,120.0,110.78,113.0,0.22,9.918,0.4114
14,Perennial,Ketoy,207.0,191.09,200.0,0.72,12.417,0.2366
15,Perennial,Simushir,248.0,228.94,235.0,0.46,13.264,0.3239
16,Perennial,Broutona,22.0,20.31,20.0,0.07,4.46,0.4723
17,Perennial,Chirpoy,106.0,97.85,102.0,0.44,9.39,0.3294
18,Perennial,Brat Chirpoev,115.0,106.16,109.0,0.29,9.735,0.3854
19,Perennial,Urup,381.0,351.72,358.0,0.42,15.054,0.3383
20,Perennial,Iturup,595.0,549.28,549.0,0.02,15.627,0.4929
21,Perennial,Kunashir,711.0,656.36,651.0,0.36,14.858,0.3591
22,Perennial,Shikotan,518.0,478.19,469.0,0.59,15.716,0.2793
23,Perennial,Polonskogo,103.0,95.08,95.0,0.01,9.271,0.4963
24,Perennial,Zeleny,140.0,129.24,130.0,0.07,10.6,0.4715
25,Perennial,Tanfileva,130.0,120.01,121.0,0.1,10.269,0.4616
26,Perennial,Yuriy,161.0,148.63,151.0,0.21,11.238,0.4164
