,trait_name,island,tot_sp,expected,observed,zscore,sd,p-value
0,Taproot,Atlasova,200.0,40.33,57.0,2.68,6.216,0.0037
1,Taproot,Shumshu,346.0,69.78,74.0,0.53,8.045,0.2997
2,Taproot,Paramushir,406.0,81.88,89.0,0.82,8.655,0.2052
3,Taproot,Antciferova,21.0,4.23,9.0,2.32,2.053,0.0102
4,Taproot,Makanrushi,107.0,21.58,32.0,2.27,4.593,0.0116
5,Taproot,Onekotan,250.0,50.42,54.0,0.52,6.912,0.302
6,Taproot,Kharimkotan,137.0,27.63,34.0,1.23,5.18,0.1093
7,Taproot,Chirinkotan,34.0,6.86,7.0,0.05,2.609,0.4781
8,Taproot,Ekarma,102.0,20.57,31.0,2.32,4.487,0.01
9,Taproot,Shiashkotan,175.0,35.29,42.0,1.15,5.831,0.1249
10,Taproot,Raykoke,54.0,10.89,18.0,2.17,3.281,0.0151
11,Taproot,Matua,171.0,34.48,47.0,2.17,5.766,0.015
12,Taproot,Rashua,203.0,40.94,38.0,0.47,6.261,0.3195
13,Taproot,Ushishir,119.0,24.0,25.0,0.21,4.837,0.4179
14,Taproot,Ketoy,205.0,41.34,43.0,0.26,6.29,0.396
15,Taproot,Simushir,246.0,49.61,56.0,0.93,6.859,0.1757
16,Taproot,Broutona,22.0,4.44,10.0,2.65,2.101,0.0041
17,Taproot,Chirpoy,105.0,21.17,27.0,1.28,4.551,0.1003
18,Taproot,Brat Chirpoev,113.0,22.79,30.0,1.53,4.717,0.0631
19,Taproot,Urup,378.0,76.23,87.0,1.29,8.378,0.0993
20,Taproot,Iturup,583.0,117.57,122.0,0.44,10.159,0.3314
21,Taproot,Kunashir,693.0,139.75,122.0,1.62,10.929,0.0522
22,Taproot,Shikotan,508.0,102.44,110.0,0.79,9.567,0.2149
23,Taproot,Polonskogo,103.0,20.77,22.0,0.27,4.508,0.3926
24,Taproot,Zeleny,139.0,28.03,27.0,0.2,5.217,0.4217
25,Taproot,Tanfileva,129.0,26.01,28.0,0.39,5.031,0.3466
26,Taproot,Yuriy,161.0,32.47,32.0,0.08,5.601,0.4667
27,Taproot,Demina,45.0,9.07,17.0,2.64,2.998,0.0041
28,Taproot,Storozhevoy,10.0,2.02,3.0,0.69,1.419,0.2441
29,Taproot,Anuchina,84.0,16.94,21.0,1.0,4.079,0.1598
30,Fibrous root,Atlasova,200.0,62.16,53.0,1.2,7.625,0.1148
31,Fibrous root,Shumshu,346.0,107.54,102.0,0.57,9.773,0.2854
32,Fibrous root,Paramushir,406.0,126.19,129.0,0.27,10.471,0.3942
33,Fibrous root,Antciferova,21.0,6.53,0.0,2.56,2.546,0.0052
34,Fibrous root,Makanrushi,107.0,33.26,30.0,0.57,5.666,0.2827
35,Fibrous root,Onekotan,250.0,77.7,77.0,0.08,8.451,0.4669
36,Fibrous root,Kharimkotan,137.0,42.58,39.0,0.56,6.379,0.2873
37,Fibrous root,Chirinkotan,34.0,10.57,9.0,0.48,3.233,0.3139
38,Fibrous root,Ekarma,102.0,31.7,23.0,1.57,5.537,0.058
39,Fibrous root,Shiashkotan,175.0,54.39,52.0,0.33,7.164,0.3692
40,Fibrous root,Raykoke,54.0,16.78,10.0,1.67,4.061,0.0474
41,Fibrous root,Matua,171.0,53.15,47.0,0.87,7.086,0.1928
42,Fibrous root,Rashua,203.0,63.09,62.0,0.14,7.678,0.4433
43,Fibrous root,Ushishir,119.0,36.99,36.0,0.17,5.964,0.4343
44,Fibrous root,Ketoy,205.0,63.72,59.0,0.61,7.713,0.2705
45,Fibrous root,Simushir,246.0,76.46,70.0,0.77,8.389,0.2207
46,Fibrous root,Broutona,22.0,6.84,2.0,1.86,2.606,0.0317
47,Fibrous root,Chirpoy,105.0,32.64,21.0,2.07,5.615,0.0191
48,Fibrous root,Brat Chirpoev,113.0,35.12,28.0,1.22,5.817,0.1104
49,Fibrous root,Urup,378.0,117.49,111.0,0.64,10.156,0.2615
50,Fibrous root,Iturup,583.0,181.2,188.0,0.56,12.127,0.2876
51,Fibrous root,Kunashir,693.0,215.39,221.0,0.43,12.929,0.3322
52,Fibrous root,Shikotan,508.0,157.89,155.0,0.25,11.488,0.4006
