,trait_name,island,tot_sp,expected,observed,zscore,sd,p-value
0,Gymnospermae,Atlasova,224.0,1.73,0.0,1.32,1.316,0.0937
1,Gymnospermae,Shumshu,392.0,3.04,1.0,1.17,1.74,0.121
2,Gymnospermae,Paramushir,465.0,3.6,1.0,1.37,1.895,0.0849
3,Gymnospermae,Antciferova,21.0,0.16,0.0,0.4,0.403,0.3434
4,Gymnospermae,Makanrushi,132.0,1.02,1.0,0.02,1.011,0.4912
5,Gymnospermae,Onekotan,292.0,2.26,1.0,0.84,1.502,0.2005
6,Gymnospermae,Kharimkotan,162.0,1.25,1.0,0.23,1.12,0.41
7,Gymnospermae,Chirinkotan,36.0,0.28,0.0,0.53,0.528,0.2987
8,Gymnospermae,Ekarma,118.0,0.91,0.0,0.96,0.956,0.1694
9,Gymnospermae,Shiashkotan,204.0,1.58,1.0,0.46,1.256,0.3221
10,Gymnospermae,Raykoke,67.0,0.52,0.0,0.72,0.72,0.2356
11,Gymnospermae,Matua,196.0,1.52,1.0,0.42,1.231,0.337
12,Gymnospermae,Rashua,241.0,1.87,2.0,0.1,1.365,0.4611
13,Gymnospermae,Ushishir,141.0,1.09,1.0,0.09,1.045,0.4649
14,Gymnospermae,Ketoy,247.0,1.91,3.0,0.79,1.382,0.2158
15,Gymnospermae,Simushir,291.0,2.25,2.0,0.17,1.5,0.4328
16,Gymnospermae,Broutona,22.0,0.17,0.0,0.41,0.413,0.3399
17,Gymnospermae,Chirpoy,130.0,1.01,0.0,1.0,1.003,0.1577
18,Gymnospermae,Brat Chirpoev,136.0,1.05,1.0,0.05,1.026,0.4793
19,Gymnospermae,Urup,450.0,3.49,2.0,0.8,1.864,0.2128
20,Gymnospermae,Iturup,721.0,5.58,9.0,1.45,2.357,0.0737
21,Gymnospermae,Kunashir,861.0,6.67,8.0,0.52,2.575,0.3026
22,Gymnospermae,Shikotan,616.0,4.77,7.0,1.02,2.18,0.1533
23,Gymnospermae,Polonskogo,120.0,0.93,0.0,0.96,0.964,0.1674
24,Gymnospermae,Zeleny,165.0,1.28,0.0,1.13,1.13,0.129
25,Gymnospermae,Tanfileva,149.0,1.15,0.0,1.07,1.074,0.1412
26,Gymnospermae,Yuriy,189.0,1.46,0.0,1.21,1.209,0.113
27,Gymnospermae,Demina,46.0,0.36,0.0,0.6,0.597,0.2753
28,Gymnospermae,Storozhevoy,10.0,0.08,0.0,0.28,0.278,0.3904
29,Gymnospermae,Anuchina,86.0,0.67,0.0,0.82,0.816,0.2071
30,Angiospermae,Atlasova,224.0,221.69,224.0,0.17,13.394,0.4314
31,Angiospermae,Shumshu,392.0,387.95,391.0,0.19,16.076,0.4248
32,Angiospermae,Paramushir,465.0,460.2,464.0,0.23,16.672,0.4098
33,Angiospermae,Antciferova,21.0,20.78,21.0,0.05,4.518,0.4809
34,Angiospermae,Makanrushi,132.0,130.64,131.0,0.03,10.768,0.4865
35,Angiospermae,Onekotan,292.0,288.98,291.0,0.14,14.735,0.4456
36,Angiospermae,Kharimkotan,162.0,160.33,161.0,0.06,11.756,0.4772
37,Angiospermae,Chirinkotan,36.0,35.63,36.0,0.06,5.877,0.4748
38,Angiospermae,Ekarma,118.0,116.78,118.0,0.12,10.249,0.4527
39,Angiospermae,Shiashkotan,204.0,201.89,203.0,0.09,12.916,0.4659
